entry_date,entry_price,exit_date,exit_price,PnL,Balance,Cum_PnL
2022-09-15 01:00:00,19955.9,2022-09-15 16:30:00,19835.6,120.3,490777.28999999946,390777.28999999946
2022-09-15 16:45:00,19856.4,2022-09-15 22:45:00,19721.0,-268.26,490509.02999999945,390509.02999999945
2022-09-16 00:00:00,19658.7,2022-09-16 03:45:00,19738.4,-79.7,490429.32999999943,390429.32999999943
2022-09-16 04:00:00,19826.2,2022-09-16 08:00:00,19704.7,-121.5,490307.82999999943,390307.82999999943
2022-09-16 08:15:00,19677.9,2022-09-16 10:00:00,19735.3,-57.4,490250.4299999994,390250.4299999994
2022-09-16 10:15:00,19776.6,2022-09-16 12:30:00,19794.3,17.7,490268.1299999994,390268.1299999994
2022-09-16 12:45:00,19682.0,2022-09-16 13:45:00,19519.3,162.7,490430.82999999943,390430.82999999943
2022-09-16 14:00:00,19697.8,2022-09-16 17:00:00,19448.8,-344.26,490086.5699999994,390086.5699999994
2022-09-16 17:15:00,19361.0,2022-09-16 19:15:00,19573.1,-212.1,489874.46999999945,389874.46999999945
2022-09-16 19:30:00,19629.3,2022-09-17 03:30:00,19884.8,255.5,490129.96999999945,390129.96999999945
2022-09-17 03:45:00,19875.0,2022-09-17 13:00:00,19846.0,29.0,490158.96999999945,390158.96999999945
2022-09-17 13:15:00,19862.1,2022-09-17 19:15:00,20007.8,145.7,490304.66999999946,390304.66999999946
2022-09-17 19:30:00,19991.8,2022-09-17 22:30:00,20101.5,-109.7,490194.96999999945,390194.96999999945
2022-09-17 22:45:00,20116.4,2022-09-18 03:45:00,19990.9,-155.42,490039.54999999946,390039.54999999946
2022-09-18 04:00:00,19965.1,2022-09-18 05:45:00,20059.6,-94.5,489945.04999999946,389945.04999999946
2022-09-18 06:00:00,20069.7,2022-09-18 09:30:00,19991.1,-78.6,489866.4499999995,389866.4499999995
2022-09-18 09:45:00,19824.5,2022-09-18 09:45:00,19824.5,-154.92,489711.5299999995,389711.5299999995
